judul_film,ringkasan_sinopsis,genre
Warkop DKI Reborn : Jangkrik Boss,Dono (Abimana Aryasatya) Kasino (Vino G. Bastian) dan Indro (Tora Sudiro) kembali beraksi di tengah hiruk pikuk kota Jakarta. Sekali lagi mereka memainkan peran sekelompok perwira yang dipekerjakan oleh lembaga swasta CHIPS (A Great Way untuk Mengatasi Masalah-masalah Sosial). Meskipun mereka bersemangat melayani masyarakat mereka juga terus menimbulkan masalah karena tindakan konyol dan lucu mereka.,Komedi
Garuda 7 Next Mission,Film ini menceritakan mengenai pemain sepakbola Indonesia Nasional di dunia nyata,Komedi
Si Pitung,Pitung bak koboi yang menyelesaikan satu masalah dan pergi. Si Pitung (Dicky Zulkarnaen) yang berguru pada H. Naipin (M. Panji Anom) mendapat kekuatan untuk melawan penindasan yang dilakukan para tuan tanah terhadap rakyat kecil. Dengan bantuan sahabatnya Dji'ih (Sandy Suwardi) ia menghajar centeng-centeng bayaran para tuan tanah begitu juga opas-opas kompeni. Untuk membantu orang-orang kampung Pitung dan Dji'ih merampok rumah Baba Long Seng seorang tuan tanah yang mengambil sawah-sawah rakyat. Hasil rampokan itu kemudian dibagi-bagikannya kepada orang-orang kampung yang susah. Komandan Polisi Kompeni (A. Hamid Arief) mendapat jalan untuk menghalangi Pitung yakni dengan menangkap orang-orang yang dekat dengan Pitung. Pitung kemudian menyerahkan diri dan dipenjara. Berkat bantuan Dji'ih dan ilmu tenaga dalam yang dimilikinya ia berhasil lolos dari penjara. Di akhir cerita Kompeni menculik Aisyah (Paula Rumokoy) untuk dijadikan istri ketiga Demang Meester (Mansjur Sjah). Pada saat pesta akan berlangsung Pitung berhasil melarikan kekasihnya itu sambil berkata bahwa akan pergi ke tempat orang-orang yang membutuhkan.,Komedi
Pangolin,PANGOLIN adalah pandangan sekilas ke dalam perjalanan trenggiling tunggal; dari saat itu diambil dari alam liar ke tujuan akhir di Cina.,Komedi
Hafiz & Friends Recap S3,Bercerita tentang pertualangan Hafiz dan teman temanya.,Komedi
"Love Reborn: Komik, Musik & Kisah Masa Lalu","Berawal dari sebuah komik karya Kirei (Nadya Arina) di web Toon, yang inspirasinya didapat dari Wijaya, pria separuh baya langganan laundry milik Ibunya (Ira Wibowo). Dalam jas yang sering di-laundry oleh Wijaya terdapat surat-surat membingungkan yang hanya ibu Kirei dan Wijaya (Donny Damara) itu yang mengerti. Komik berjudul Kisah Masa Lalu itu jadi viral di media online. Kesuksesan komik Kirei menimbulkan masalah. Bagus, vokalis band indie “Keras Kepala Band” yang beranggotakan Rindu (Rani Ramadhany), Jefry (Indra Jegel), dan Sobirin (Jui Purwanto), tidak terima karena karakter di komik itu adalah ayahnya. Bagus menuduh ibu Kirei wanita murahan karena jadi penyebab retaknya rumah tangga keluarganya. Untuk membuktikan itu Kirei dan Bagus bersepakat untuk mengungkap kebenaran antara ibu Kireii dan ayah Bagus. Perjalanan mengungkap rahasia itu ternyata tidak mudah karena selain minimnya informasi, mereka selalu bertemu dengan orang-orang aneh di masa lalu orangtua mereka. Kirei dan Bagus banyak menemukan hal baru dan mengubah cara berpikir mereka setelah melewati perjalanan bersama.",Komedi
Satu Jiwa untuk Indonesia: Darah Biru Arema 2,"Tiga kisah fans Arema, sebuah klub sepakbola Malang, yang dikenal dengan sebutan Aremania. Seorang bapak yang menanti kelahiran anaknya di Samboja, Kalimantan Timur, harus berhadapan dengan kegiatan Aremania; Seseorang memaknai stadion sebagai tempat berkumpul yang sakral; Seorang Aremanita harus memikul tanggungjawab untuk menghidupi keluarga dan meneruskan sebuah cita-cita untuk Arema.",Komedi
Senggol-senggolan,Elvi dan adiknya Adi yang sudah lama ditinggal ibunya ditinggal ayahnya pula yang kecelakaan akibat terguncang oleh kenakalan Adi. Rumah tempat tinggalnya juga harus ditinggalkan karena milik pabrik tempat ayahnya kerja. Elvi dan Adi lalu ke Jakarta untuk mencari alamat Johny promotor pertunjukan yang pernah mengadakan pentas di desanya. Johny kagum pada bakat Elvi yang saat itu diminta menyanyi. Sesampai di Jakarta Elvi dan Adi terpisah. Adi mencoba hidup sendiri mirip gelandangan sementara Elvi secara sangat kebetulan jumpa dengan Johny. Ia lalu diperkenalkan pada produsernya Dicky yang tengah bingung menghadapi penyanyi sakit padahal sudah harus pentas. Elvi mengganti sukses masuk rekaman sukses. Dicky mulai menaruh hati dan mengajak kawin. Elvi minta ditunda dulu sampai ketemu adiknya. Padahal Elvi dan Adi ini sebenarnya sudah berkali-kali nyaris ketemu karena Adi bersahabat dengan sopir Dicky yang suatu saat melihat Adi tertabrak mobil dan membawanya ke rumah sakit. Pencarian sukar dilakukan sampai Johny akhirnya bisa menemukan foto waktu pentas di desa di mana ada Adi. Dicky minta pada sopirnya untuk menggandakan foto itu untuk memudahkan pencarian. Sang sopir langsung membawa Elvi dan Dicky ke rumah sakit. Sampai di rumah sakit ternyata Adi lari karena takut tak bisa bayar padahal matanya dibalut untuk persiapan operasi. Ia tak tahu masuk lift yang membawanya ke atas dan keluar di atap rumah sakit sampai hampir terjatuh. Untung Dicky berhasil menyelamatkan.,Komedi
Serdadu kumbang,Serdadu kumbang bercerita tentang sistem belajar yang berjalan di desa mantar sumbawa. Setahun lalu banyak murid di indonesia yang tidak lulus un. Berbekal pengalaman itu guru-guru di sd dan smp 08 semakin mengetatkan sistem belajar mengajar. Sayangnya penegakan kedisiplinan yang cenderung kaku malah menimbulkan dampak kurang baik bagi para siswa yang sebenarnya masih dalam usia pertumbuhan. Dan hal itu pun terjadi pada diri amek umbe dan acan. Adalah amek (yudi miftahudin) salah satu murid sd 08 yang tidak lulus ujian setahun lalu padahal amek anak yang baik. Tapi sifatnya yang keras hati dan cukup jahil membuatnya sering dihukum oleh guru di sekolah. Sebaliknya sang kakak minun (monica sayangbati) pelajar smp yang selalu menjadi juara kelas dan menjuarai lomba matematika. Ruang tamu rumahnya diisi oleh deretan piala dan sertifikat. Selain menjadi ikon sekolah minun juga menjadi kebanggan keluarga dan masyarakat. Di desa mantar yang terletak di bukit dan jauh dari perkotaan amek dan minun tinggal bersama ibu mereka siti (titi sjuman). Ayah mereka zakaria (asrul dahlan) sudah 3 tahun bekerja di malaysia dan tidak pernah pulang dan mengirimkan uang. Di luar desa mereka ada sebuah pohon yang berada persis di bibir tebing dan menghadap ke laut lepas. Pohon yang tidak begitu tinggi itu disebut sebagai pohon cita-cita oleh orang kampung. Di setiap dahan pohon tersebut terdapat botol berisi cita-cita yang terikat dengan tali. Botol cita-cita ini sering diisi oleh anak-anak kampung tidak terkecuali amek dan teman-temannya. Banyaknya botol cita-cita yang tergantung di setiap dahan membuat pohon cita-cita ini terlihat indah. Amek sendiri disayangi oleh banyak orang terutama minun. Minun menyayangi amek bukan hanya karena amek tidak lulus ujian tapi juga karena amek memiliki kekurangan fisik sejak lahir. Bibir amek sumbing sehingga membuatnya sering diledeki oleh teman-temannya. Tapi di balik kekurangan fisiknya tersebut sebenarnya amek diberikan banyak kelebihan oleh tuhan. Kelebihannya yang paling terlihat adalah berkuda dan membacakan berita lewat jendela rumahnya yang menghadap ke pekarangan. Tidak jarang orang-orang yang lewat rumahnya menanyakan berita apa yang sedang trending di indonesia. Meskipun memiliki kelebihan amek selalu teringat pada kekurangannya. Setiap kali orang bertanya mengenai cita-citanya amek tidak pernah menjawab karena takut akan ditertawakan.,Komedi
Sst… Jadikan aku simpanan,Sssst.. Jadikan aku simpanan mengisahkan tentang seorang gadis muda dan cantik bernama pamela (acha septriasa). Pamela memiliki niatan untuk masuk ke salah satu universitas terkenal dan kemudian mengikuti tes masuknya. Dengan tingkat rasa percaya dirinya yang tinggi pamela yakin dapat masuk ke universitas yang terkenal tersebut.,Komedi
