k,accuracy,precision,recall,f1_score
2,0.5445544554455446,0.7777777777777778,0.13725490196078433,0.23333333333333334
3,0.5445544554455446,0.7272727272727273,0.1568627450980392,0.25806451612903225
4,0.5445544554455446,0.7777777777777778,0.13725490196078433,0.23333333333333334
5,0.5346534653465347,0.7,0.13725490196078433,0.2295081967213115
6,0.5346534653465347,0.75,0.11764705882352941,0.20338983050847456
7,0.5148514851485149,0.75,0.058823529411764705,0.10909090909090909
8,0.5445544554455446,0.8571428571428571,0.11764705882352941,0.2068965517241379
9,0.5247524752475248,0.5230769230769231,0.6666666666666666,0.5862068965517241
10,0.48514851485148514,0.47619047619047616,0.19607843137254902,0.2777777777777778
11,0.5643564356435643,0.5411764705882353,0.9019607843137255,0.6764705882352942
12,0.5742574257425742,0.5512820512820513,0.8431372549019608,0.6666666666666667
13,0.5247524752475248,0.5154639175257731,0.9803921568627451,0.6756756756756755
14,0.5148514851485149,0.5104166666666666,0.9607843137254902,0.6666666666666666
15,0.5148514851485149,0.51,1.0,0.6754966887417219
16,0.5346534653465347,0.5204081632653061,1.0,0.6845637583892618
17,0.5148514851485149,0.51,1.0,0.6754966887417219
18,0.5148514851485149,0.51,1.0,0.6754966887417219
19,0.5148514851485149,0.51,1.0,0.6754966887417219
