k,accuracy,precision,recall,f1_score
2,0.5247524752475248,0.5405405405405406,0.39215686274509803,0.4545454545454546
3,0.44554455445544555,0.4576271186440678,0.5294117647058824,0.49090909090909096
4,0.46534653465346537,0.4727272727272727,0.5098039215686274,0.49056603773584906
5,0.48514851485148514,0.4918032786885246,0.5882352941176471,0.5357142857142858
6,0.49504950495049505,0.5,0.6274509803921569,0.5565217391304348
7,0.49504950495049505,0.5,0.7254901960784313,0.592
8,0.5247524752475248,0.5194805194805194,0.7843137254901961,0.6249999999999999
9,0.504950495049505,0.5066666666666667,0.7450980392156863,0.6031746031746031
10,0.49504950495049505,0.5,0.7843137254901961,0.6106870229007634
11,0.504950495049505,0.5063291139240507,0.7843137254901961,0.6153846153846154
12,0.5346534653465347,0.525,0.8235294117647058,0.6412213740458015
13,0.504950495049505,0.5058823529411764,0.8431372549019608,0.6323529411764706
14,0.48514851485148514,0.49411764705882355,0.8235294117647058,0.6176470588235294
15,0.45544554455445546,0.47674418604651164,0.803921568627451,0.5985401459854015
16,0.46534653465346537,0.4827586206896552,0.8235294117647058,0.608695652173913
17,0.45544554455445546,0.4777777777777778,0.8431372549019608,0.6099290780141844
18,0.49504950495049505,0.5,0.8823529411764706,0.6382978723404256
19,0.49504950495049505,0.5,0.9019607843137255,0.6433566433566434
